keys,en
"actor.ashfall.ghoul.name","Ghoul"
"actor.ashfall.ghoul.name_numbered","Ghoul {0}"
"actor.ashfall.cinder_hound.name","Cinder Hound"
"actor.ashfall.cinder_hound.name_numbered","Cinder Hound {0}"
"gear.claw.name","Claw"
"gear.bite.name","Bite"
"gear.cold_iron_axe.name","Cold Iron Axe"
"gear.scale_coat.name","Scale Coat"
"campaign.ashfall.name","Ashfall"
"campaign.ashfall.description","A yard behind a burnt chapel, and whatever came up through the floor of it."
"quest.ashfall.the_yard.title","The Ash Yard"
"dialogue.dm.narration.ashfall.the_yard_opens","The chapel burned a season ago and nobody came back for what was inside. The yard is open to the sky. Something has been using it."
"quest.ashfall.ash_yard.name","The Ash Yard"
