keys,en
"campaign.greyhollow.name","Greyhollow"
"campaign.greyhollow.description","Three rooms under a drowned chapel, and the thing that has been growing in them."
"quest.greyhollow.the_hollow.title","Into the Hollow"
"actor.greyhollow.blight_rat.name","Blight Rat"
"actor.greyhollow.blight_rat.name_numbered","Blight Rat {0}"
"actor.greyhollow.spore_thrall.name","Spore Thrall"
"actor.greyhollow.spore_thrall.name_numbered","Spore Thrall {0}"
"actor.greyhollow.hollow_warden.name","Hollow Warden"
"actor.greyhollow.hollow_warden.name_numbered","Hollow Warden {0}"
"actor.greyhollow.cistern_leech.name","Cistern Leech"
"actor.greyhollow.cistern_leech.name_numbered","Cistern Leech {0}"
"actor.greyhollow.the_mother_stalk.name","The Mother Stalk"
"actor.greyhollow.the_mother_stalk.name_numbered","The Mother Stalk {0}"
"gear.teeth.name","Teeth"
"gear.fist.name","Fist"
"gear.pole_hook.name","Pole Hook"
"gear.sucker.name","Sucker"
"gear.lash.name","Lash"
"gear.wardens_hook.name","Warden's Hook"
"gear.damp_charm.name","Damp Charm"
"gear.heartwood_shard.name","Heartwood Shard"
