keys,en
"dialogue.wolf.line.greyhollow.water_under_the_floor","There is water under this floor. I can hear it moving."
"dialogue.wolf.line.greyhollow.growing_unwatched","Whatever is down there has been growing a long while with nobody watching it."
"dialogue.wolf.line.greyhollow.ask_what_it_smells","Ask what it smells"
"dialogue.wolf.line.greyhollow.wet_rope_old_bread","Wet rope. Old bread. And something that used to be a person."
"dialogue.wolf.line.greyhollow.tell_it_stay_close","Tell it to stay close"
"dialogue.wolf.line.greyhollow.that_is_the_arrangement","I am always close. That is the arrangement."
"dialogue.wolf.line.greyhollow.say_nothing_at_all","Say nothing"
"dialogue.wolf.line.greyhollow.suit_yourself","Mm. Suit yourself."
"dialogue.wolf.line.greyhollow.the_stair_goes_down","The stair goes down. The stair is the only thing here that goes down."
"dialogue.wolf.line.greyhollow.go_down","Go down"
"dialogue.wolf.line.greyhollow.of_course_we_do","Of course we do."
"dialogue.wolf.line.greyhollow.stand_a_moment","Stand here a moment longer"
"dialogue.wolf.line.greyhollow.a_moment_then_down","A moment. Then down."
"dialogue.wolf.line.greyhollow.nothing_tried_to_eat_us","Nothing tried to eat us today. That is a day."
"dialogue.wolf.line.greyhollow.i_will_wake_you","Sleep. I will wake you if the water changes."
"dialogue.wolf.line.greyhollow.sit_all_the_way_down","Sit down. No - all the way down."
"dialogue.wolf.line.greyhollow.bled_on_my_map","You bled on my map. That is the second time this month."
"dialogue.wolf.line.greyhollow.most_things_keep","It will keep. Most things keep."
"dialogue.wolf.line.greyhollow.i_watched_it_stop","It is dead. I watched it stop."
"dialogue.wolf.line.greyhollow.go_quiet_like_that","I have never smelled anything go quiet like that."
"dialogue.wolf.line.greyhollow.not_a_mark_on_you","Not a mark on you. Do not get used to it."
"dialogue.wolf.line.greyhollow.you_went_down","You went down."
"dialogue.wolf.line.greyhollow.nothing_else_tonight","I am not going to say anything else about it tonight."
"dialogue.wolf.beat.greyhollow.the_water_is_wrong","Step light. There is nothing under this floor but water and whatever is swimming in it."
"dialogue.wolf.beat.greyhollow.it_was_a_person","Look at the shape of it. Somebody stood like that, once."
"dialogue.wolf.beat.greyhollow.the_spores_are_breathing","The walls are moving. Slowly, but they are moving."
"dialogue.wolf.beat.greyhollow.they_move_when_you_move","They are not breathing. They are watching. That is you they are leaning towards."
"dialogue.wolf.beat.greyhollow.hold_your_breath_and_walk","Fill your chest at the door and do not let it go until the far side. It only wants the air you give it."
"dialogue.dm.beat.greyhollow.the_water_is_wrong","The stair sounds hollow underfoot. Whatever is below it is not stone."
"dialogue.dm.beat.greyhollow.it_was_a_person","There is a shape in it you recognise, and you would rather not."
"dialogue.dm.beat.greyhollow.the_spores_are_breathing","The walls of the gallery rise and fall, slowly, all together."
"dialogue.dm.beat.greyhollow.they_move_when_you_move","They lean when you lean. It is not the air moving them."
"dialogue.dm.beat.greyhollow.hold_your_breath_and_walk","It wants the air you give it. Take one breath at the door and do not give it another."
