keys,en
"class.hearthguard.warden.name","Warden"
"class.hearthguard.warden.description","A hearth-sworn spear, drilled to hold a doorway and not to leave it."
"actor.hearthguard.warden.name","Warden"
"actor.hearthguard.warden.name_numbered","Warden {0}"
"gear.warden_glaive.name","Glaive"
"campaign.hearthguard.name","Hearthguard"
"campaign.hearthguard.description","The wardens of the hearth - a class to play, and nothing to play it in."
"ability.hearthguard.steady_guard.name","Steady Guard"
"ability.hearthguard.steady_guard.description","Set your feet and breathe. Done well it shakes off what was pressing on you; done badly it presses harder."
"ability.hearthguard.hearth_ward.name","Hearth Ward"
"ability.hearthguard.hearth_ward.description","A word thrown across the room. It lands hard and leaves them rattled."
"class.hearthguard.hillfolk.name","Hillfolk"
"class.hearthguard.hillfolk.description","Raised on the high ground, where everything is uphill and nothing is quick."
"class.hearthguard.fenborn.name","Fenborn"
"class.hearthguard.fenborn.description","Out of the wet country. Slight, watchful, and very hard to lose in a marsh."
"class.hearthguard.gate_watch.name","Gate Watch"
"class.hearthguard.gate_watch.description","Ten years of asking people what their business was, and knowing when they lied."
"class.hearthguard.charcoal_burner.name","Charcoal Burner"
"class.hearthguard.charcoal_burner.description","A life spent alone in the woods, minding a fire that must not go out."
