keys,en
"dialogue.wolf.bark.snag.001","Ha. Nearly."
"dialogue.wolf.bark.snag.002","That one got away from you."
"dialogue.wolf.bark.snag.003","Hm."
"dialogue.wolf.bark.snag.004","Your grip slid. I saw it slide."
"dialogue.wolf.bark.snag.005","Not your best."
"dialogue.wolf.bark.snag.006","I'd have bitten it by now."
"dialogue.wolf.bark.snag.007","Close. Closer than it looked."
"dialogue.wolf.bark.snag.008","Breathe out before you swing. You never do."
"dialogue.wolf.bark.snag.009","It's the floor. The floor is wrong here."
"dialogue.wolf.bark.snag.010","You're leaning again."
"dialogue.wolf.bark.snag.011","Tsk."
"dialogue.wolf.bark.snag.012","That's twice you've done that today. I'm counting."
"dialogue.wolf.bark.snag.013","Wind's changed. Doesn't help you, I know."
"dialogue.wolf.bark.snag.014","Shake it off."
"dialogue.wolf.bark.snag.015","Your shoulder's cold. Roll it."
"dialogue.wolf.bark.snag.016","I liked the idea more than the doing."
"dialogue.wolf.bark.snag.017","Mm. The Chandelier Plan went about like that."
"dialogue.wolf.bark.snag.018","Don't look at me. I'm not the one holding it."
"dialogue.wolf.bark.snag.019","Again. Slower."
"dialogue.wolf.bark.snag.020","You blinked."
"dialogue.wolf.bark.snag.021","There's a stone under your heel. I can smell the grit."
"dialogue.wolf.bark.snag.022","Fine. Fine. Next one."
"dialogue.wolf.bark.snag.023","That was the hand, not the arm."
"dialogue.wolf.bark.snag.024","You're thinking about it. Stop thinking about it."
"dialogue.wolf.bark.snag.025","Nnh."
"dialogue.wolf.bark.snag.026","It heard you coming. They always hear you coming."
"dialogue.wolf.bark.snag.027","That's what happens when you eat standing up."
"dialogue.wolf.bark.snag.028","Hah! No."
"dialogue.wolf.bark.snag.029","I've seen you do that better half-asleep."
"dialogue.wolf.bark.snag.030","You want to sit down? We can sit down."
"dialogue.wolf.bark.snag.031","Too tall for you. Go low."
"dialogue.wolf.bark.snag.032","Your coat caught. It always catches."
"dialogue.wolf.bark.snag.033","One of those."
"dialogue.wolf.bark.snag.034","I'd say something kind but you'd only get worse."
"dialogue.wolf.bark.snag.035","Steady. You're not hurt. You're just annoyed."
