keys,en
"attr.might.name","Might"
"attr.might.description","Force, endurance, intimidation by presence, carrying, breaking."
"attr.grace.name","Grace"
"attr.grace.description","Agility, precision, stealth, reflexes, aim."
"attr.wits.name","Wits"
"attr.wits.description","Perception, recall, deduction, cunning, craft."
"attr.heart.name","Heart"
"attr.heart.description","Will, resolve, charm, faith, channeling."
"skill.none.name","Untrained"
"skill.none.description","No training. Nothing is added to the pool."
"skill.blades.name","Blades"
"skill.blades.description","Swords, axes, and anything else with an edge."
"skill.marksman.name","Marksman"
"skill.marksman.description","Bows, slings, and thrown weapons."
"skill.brawl.name","Brawl"
"skill.brawl.description","Fists, grapples, and fighting with nothing in your hands."
"skill.stealth.name","Stealth"
"skill.stealth.description","Moving unseen and unheard."
"skill.larceny.name","Larceny"
"skill.larceny.description","Locks, traps, pockets, and things not meant to open."
"skill.lore.name","Lore"
"skill.lore.description","Books, languages, history, and what the symbol means."
"skill.survival.name","Survival"
"skill.survival.description","Tracking, foraging, weather, and staying alive outdoors."
"skill.insight.name","Insight"
"skill.insight.description","Reading people, spotting the lie, sensing the trap."
"skill.sway.name","Sway"
"skill.sway.description","Persuasion, command, charm, and intimidation by words."
"skill.channeling.name","Channeling"
"skill.channeling.description","Drawing power through yourself, and paying the Strain."
"condition.winded.name","Winded"
"condition.winded.description","Your Might die drops one step until you rest."
"condition.reeling.name","Reeling"
"condition.reeling.description","Your Grace die drops one step until you rest."
"condition.rattled.name","Rattled"
"condition.rattled.description","Your Wits die drops one step until you rest."
"condition.shaken.name","Shaken"
"condition.shaken.description","Your Heart die drops one step until you rest."
"actor.barbarian.name","Barbarian"
"actor.barbarian.name_numbered","Barbarian {0}"
"actor.rabble.name","Rabble"
"actor.rabble.name_numbered","Rabble {0}"
"actor.rival.name","Rival"
"actor.rival.name_numbered","Rival {0}"
"actor.tier_rabble.name","Rabble"
"actor.tier_rival.name","Rival"
"actor.tier_dread.name","Dread"
"gear.unarmed.name","Unarmed"
"gear.axe.name","Axe"
"gear.club.name","Club"
"gear.blade.name","Blade"
"gear.tray_wood.name","Wooden Tray"
"gear.tray_gamblers.name","Gambler's Tray"
