keys,en
"campaign.my_classes.name","My Classes"
"campaign.my_classes.description","A pack of classes to play, and nothing to play them in."
"class.my_classes.example_class.name","Example Class"
"class.my_classes.example_class.description","One line on how it plays."
"actor.my_classes.example_class.name","Example Class"
"actor.my_classes.example_class.name_numbered","Example Class {0}"
"gear.example_weapon.name","Example Weapon"
"ability.my_classes.example_ability.name","Example Ability"
"ability.my_classes.example_ability.description","One line on what it does."
"class.my_classes.example_race.name","Example Race"
"class.my_classes.example_race.description","One line on where they come from."
"class.my_classes.example_background.name","Example Background"
"class.my_classes.example_background.description","One line on what they did before this."
"dialogue.example_companion.bark.snag.001","Ha. Nearly."
"dialogue.example_companion.bark.snag.002","Hm."
"dialogue.example_companion.bark.snag.003","Not your best."
"dialogue.example_companion.bark.snag.004","Again. Slower."
"dialogue.example_companion.bark.trouble.001","That is a real one. Careful now."
"dialogue.example_companion.bark.trouble.002","No. I do not like that."
"dialogue.example_companion.bark.maxed.001","There. That is the top of it."
"dialogue.example_companion.bark.maxed.002","All the way over. Good."
"dialogue.example_companion.bark.perfect.001","Every one of them. Look at that."
"dialogue.example_companion.bark.nudge.001","Hold on. That one is not sitting straight."
"dialogue.example_companion.bark.nearby.001","Somebody here is waiting on you."
"dialogue.example_companion.bark.nerve.001","Go on, then. I am watching."
"dialogue.example_companion.bark.nerve.002","You are spending. You always spend."
"dialogue.example_companion.bark.secret.001","Something moved behind the screen."
"dialogue.example_companion.bark.secret.002","I hate it when they roll and do not say."
"dialogue.example_companion.bark.overasked.001","You asked. I answered."
"dialogue.example_companion.bark.overasked.002","Ask again and I will only say it louder."
"dialogue.example_companion.bark.camp.001","Good. Fire. Sit."
"dialogue.example_companion.bark.camp.002","Put the thing down. All the way down."
"dialogue.example_companion.bark.victory.001","There. That is the one."
"dialogue.example_companion.bark.victory.002","Quiet again. I like quiet."
"dialogue.example_companion.bark.down.001","Up. Get up."
